,KeggID,REFERENCE
781,gn:T00743,PMID:21602358
782,gn:T00744,
783,gn:T00745,PMID:19136599
784,gn:T00746,PMID:18716664
785,gn:T00747,PMID:18670397
786,gn:T00748,
787,gn:T00749,PMID:20828392
788,gn:T00750,PMID:18700039
789,gn:T00751,PMID:21602358
790,gn:T00752,PMID:18359806
791,gn:T00753,PMID:18375554
792,gn:T00754,PMID:19182778
793,gn:T00755,PMID:18391199
794,gn:T00756,PMID:19159446
795,gn:T00757,PMID:21602358
796,gn:T00758,
797,gn:T00759,PMID:18304669
798,gn:T00760,
799,gn:T00761,PMID:21642468
800,gn:T00762,
801,gn:T00763,PMID:18452608
802,gn:T00764,
803,gn:T00765,PMID:21551308
804,gn:T00766,
805,gn:T00767,
806,gn:T00768,PMID:18787695
807,gn:T00769,PMID:18787695
808,gn:T00770,PMID:18583645
809,gn:T00771,PMID:18931103
810,gn:T00772,PMID:18654632
811,gn:T00773,PMID:24831154
812,gn:T00774,PMID:24558247
813,gn:T00775,PMID:25635016
814,gn:T00776,PMID:18583645
815,gn:T00777,PMID:18952803
816,gn:T00778,PMID:22135463
817,gn:T00779,PMID:21304679
818,gn:T00780,PMID:18820018
819,gn:T00781,
820,gn:T00782,PMID:19099551
821,gn:T00783,PMID:18539730
822,gn:T00784,PMID:18931093
823,gn:T00785,PMID:20500872
824,gn:T00786,PMID:20478826
825,gn:T00787,PMID:19047403
826,gn:T00788,PMID:19047403
827,gn:T00789,PMID:18790866
828,gn:T00790,PMID:19014707
829,gn:T00791,PMID:18398463
830,gn:T00792,PMID:19008447
831,gn:T00793,PMID:18931120
832,gn:T00794,PMID:19033196
833,gn:T00795,PMID:31556867
834,gn:T00795,PMID:18931120
835,gn:T00796,PMID:18952797
836,gn:T00797,PMID:19124572
837,gn:T00798,PMID:21304715
838,gn:T00799,
839,gn:T00800,PMID:28066333
840,gn:T00801,PMID:21602330
841,gn:T00802,PMID:20472789
842,gn:T00803,
843,gn:T00804,PMID:23407619
844,gn:T00805,
845,gn:T00806,
846,gn:T00807,PMID:20935092
847,gn:T00808,
848,gn:T00809,PMID:22887658
849,gn:T00810,PMID:19077236
850,gn:T00811,PMID:19165319
851,gn:T00812,PMID:19364337
852,gn:T00813,PMID:21651686
853,gn:T00814,
854,gn:T00815,
855,gn:T00816,
856,gn:T00817,PMID:19114480
857,gn:T00818,PMID:19047519
858,gn:T00819,PMID:19011029
859,gn:T00820,PMID:19150844
860,gn:T00821,PMID:19150844
861,gn:T00822,PMID:22316246
862,gn:T00823,PMID:26543115
863,gn:T00824,
864,gn:T00825,PMID:19074396
865,gn:T00826,PMID:19165319
866,gn:T00827,PMID:19165319
867,gn:T00828,PMID:19165319
868,gn:T00829,PMID:19165319
869,gn:T00830,PMID:19165319
870,gn:T00831,PMID:19165319
871,gn:T00832,
872,gn:T00833,
873,gn:T00834,
874,gn:T00835,
875,gn:T00836,
876,gn:T00837,
877,gn:T00838,PMID:19145256
878,gn:T00839,
879,gn:T00840,PMID:21475584
880,gn:T00841,PMID:20472802
881,gn:T00842,PMID:19881526
882,gn:T00843,PMID:19114491
883,gn:T00844,PMID:19028901
884,gn:T00845,PMID:19148287
885,gn:T00846,PMID:19654355
886,gn:T00847,
887,gn:T00848,PMID:19074389
888,gn:T00849,PMID:19175920
